Generation,Timestamp,Best Fitness,Average Fitness,Worst Fitness,Top 1 Fitness,Top 2 Fitness,Top 3 Fitness,Top 4 Fitness,Top 5 Fitness,Fitness Range,Improvement
0,2025-12-19 11:38:53,0.496400,-0.030350,-0.565500,0.496400,0.479200,0.399100,0.367700,0.268500,1.061900,0.000000
1,2025-12-19 12:52:10,0.797900,-0.004032,-0.611400,0.797900,0.500600,0.379500,0.329400,0.329200,1.409300,0.301500
